cell,source,kernel,m,k,n,nnz,mem_pct,dram_pct,l1tex_pct,l2_pct,sm_pct,duration_ms,measured_dram_MB,ai_compulsory,ai_measured,traffic_ratio
12,A1: m=8192 d=0.01 baseline (memopt LOSES — find the bottleneck),,,,,,90.13,90.13,76.35,44.89,76.01,1.85,533.6,,,
13,A2: m=8192 d=0.01 memopt,,,,,,83.49,83.49,69.71,39.55,68.28,2.07,553.0,,,
14,B1: m=4096 d=0.001 baseline (memopt WINS +32%),,,,,,41.35,38.91,42.41,21.12,41.35,0.12333,15.4,,,
28,A2-memopt_v2: m=8192 d=0.01 (bandwidth-bound),memopt_v2,8192,8192,256,671114,85.32,85.32,69.64,39.79,67.62,2.06,562.4,15.49,0.61,25.4
29,A2-tiled: m=8192 d=0.01 (bandwidth-bound),tiled,8192,8192,256,671114,74.88,65.0,76.74,65.52,59.64,1.23,255.8,15.49,1.34,11.5
30,A2-tiled_v2: m=8192 d=0.01 (bandwidth-bound),tiled_v2,8192,8192,256,671114,84.98,84.98,69.28,59.28,18.79,1.35,367.1,15.49,0.94,16.6
31,B2-memopt_v2: m=4096 d=0.001 (latency-bound),memopt_v2,4096,4096,256,16935,56.5,56.5,49.85,26.03,45.06,0.09504,17.2,1.02,0.5,2.0
32,B2-tiled: m=4096 d=0.001 (latency-bound),tiled,4096,4096,256,16935,68.29,68.29,53.9,34.31,47.64,0.07226,15.8,1.02,0.55,1.9
33,B2-tiled_v2: m=4096 d=0.001 (latency-bound),tiled_v2,4096,4096,256,16935,81.7,81.7,51.2,41.21,25.45,0.060219999999999996,15.7,1.02,0.55,1.8
35,A2-tiled_v3: m=8192 d=0.01 (bandwidth-bound),tiled_v3,8192,8192,256,671114,77.62,65.27,78.77,66.31,60.56,1.2,250.6,15.49,1.37,11.3
36,B2-tiled_v3: m=4096 d=0.001 (latency-bound),tiled_v3,4096,4096,256,16935,79.13,79.13,53.64,40.12,47.5,0.06179,15.6,1.02,0.56,1.8
38,C2-tiled_v3: m=4096 d=0.05 (compute-bound) — reference for the v4 diff,tiled_v3,4096,4096,256,839236,77.14,10.26,81.95,66.17,61.54,1.44,47.3,28.42,9.08,3.1
39,C1-tiled_v3: m=4096 d=0.01 (compute-bound) — reference for the v4 diff,tiled_v3,4096,4096,256,167686,74.79,26.89,79.35,64.61,59.95,0.30755,26.5,8.81,3.24,2.7
40,"C2-tiled_v4: m=4096 d=0.05 (compute-bound, hardest DoD cell)",tiled_v4,4096,4096,256,839236,70.26,8.04,77.49,61.85,47.44,1.51,38.8,28.42,11.07,2.6
41,C1-tiled_v4: m=4096 d=0.01 (compute-bound),tiled_v4,4096,4096,256,167686,67.0,24.06,73.29,59.37,44.58,0.33331,25.7,8.81,3.34,2.6
61,ncu_phase3_4096_d05_wmma.txt,wmma,4096,4096,256,839236,51.4,51.4,98.55,30.8,28.38,4.13,679.3,28.42,0.63,44.9
61,ncu_phase3_8192_d01_wmma.txt,wmma,8192,8192,256,671114,52.7,52.7,99.18,33.4,28.61,15.05,2538.0,15.49,0.14,114.4
