kernel,m,k,n,nnz,time_ms,gflops
baseline,1024,1024,256,52260,0.1301,205.7
memopt,1024,1024,256,52260,0.1618,165.35
memopt_v2,1024,1024,256,52260,0.1618,165.35
tiled,1024,1024,256,52260,0.0981,272.72
tiled_v2,1024,1024,256,52260,0.0967,276.6
tiled_v3,1024,1024,256,52260,0.0942,283.93
tiled_v4,1024,1024,256,52260,0.0963,277.98
wmma,1024,1024,256,52260,0.2183,122.55
baseline,1024,1024,256,10388,0.0304,174.77
memopt,1024,1024,256,10388,0.0366,145.16
memopt_v2,1024,1024,256,10388,0.0365,145.54
tiled,1024,1024,256,10388,0.0266,200.01
tiled_v2,1024,1024,256,10388,0.0231,230.52
tiled_v3,1024,1024,256,10388,0.026,204.69
tiled_v4,1024,1024,256,10388,0.0291,182.85
wmma,1024,1024,256,10388,0.1824,29.16
baseline,1024,1024,256,1044,0.0183,29.25
memopt,1024,1024,256,1044,0.0164,32.56
memopt_v2,1024,1024,256,1044,0.0164,32.56
tiled,1024,1024,256,1044,0.0133,40.06
tiled_v2,1024,1024,256,1044,0.0102,52.2
tiled_v3,1024,1024,256,1044,0.0107,50.16
tiled_v4,1024,1024,256,1044,0.0109,49.13
wmma,1024,1024,256,1044,0.0541,9.87
baseline,4096,4096,256,839236,1.7954,239.32
memopt,4096,4096,256,839236,1.8259,235.34
memopt_v2,4096,4096,256,839236,1.4889,288.59
tiled,4096,4096,256,839236,1.0854,395.87
tiled_v2,4096,4096,256,839236,0.9796,438.66
tiled_v3,4096,4096,256,839236,1.0042,427.9
tiled_v4,4096,4096,256,839236,1.0778,398.66
wmma,4096,4096,256,839236,2.1136,203.29
baseline,4096,4096,256,167686,0.1938,443.1
memopt,4096,4096,256,167686,0.1905,450.77
memopt_v2,4096,4096,256,167686,0.2089,410.93
tiled,4096,4096,256,167686,0.1638,524.02
tiled_v2,4096,4096,256,167686,0.1596,537.78
tiled_v3,4096,4096,256,167686,0.1679,511.24
tiled_v4,4096,4096,256,167686,0.1889,454.59
wmma,4096,4096,256,167686,1.9521,43.98
baseline,4096,4096,256,16935,0.11,78.79
memopt,4096,4096,256,16935,0.0839,103.3
memopt_v2,4096,4096,256,16935,0.0844,102.68
tiled,4096,4096,256,16935,0.0656,132.11
tiled_v2,4096,4096,256,16935,0.06,144.51
tiled_v3,4096,4096,256,16935,0.0615,141.05
tiled_v4,4096,4096,256,16935,0.0594,145.91
wmma,4096,4096,256,16935,0.6961,12.46
baseline,8192,8192,256,3354625,11.1365,154.23
memopt,8192,8192,256,3354625,9.5093,180.62
memopt_v2,8192,8192,256,3354625,10.0441,171.0
tiled,8192,8192,256,3354625,4.6738,367.49
tiled_v2,8192,8192,256,3354625,5.1455,333.8
tiled_v3,8192,8192,256,3354625,4.315,398.04
tiled_v4,8192,8192,256,3354625,3.9993,429.47
wmma,8192,8192,256,3354625,10.3216,166.41
baseline,8192,8192,256,671114,1.7311,198.49
memopt,8192,8192,256,671114,1.9378,177.32
memopt_v2,8192,8192,256,671114,1.9435,176.8
tiled,8192,8192,256,671114,0.9625,356.99
tiled_v2,8192,8192,256,671114,1.2746,269.58
tiled_v3,8192,8192,256,671114,0.9211,373.06
tiled_v4,8192,8192,256,671114,0.9339,367.94
wmma,8192,8192,256,671114,9.5382,36.02
baseline,8192,8192,256,67137,0.2516,136.6
memopt,8192,8192,256,67137,0.2663,129.08
memopt_v2,8192,8192,256,67137,0.2667,128.88
tiled,8192,8192,256,67137,0.2284,150.47
tiled_v2,8192,8192,256,67137,0.2068,166.21
tiled_v3,8192,8192,256,67137,0.2091,164.4
tiled_v4,8192,8192,256,67137,0.2237,153.65
wmma,8192,8192,256,67137,2.175,15.8
baseline,16384,16384,256,13421456,53.7597,127.82
memopt,16384,16384,256,13421456,49.7882,138.02
memopt_v2,16384,16384,256,13421456,51.2948,133.97
tiled,16384,16384,256,13421456,34.1615,201.16
tiled_v2,16384,16384,256,13421456,30.6601,224.13
tiled_v3,16384,16384,256,13421456,30.2381,227.26
tiled_v4,16384,16384,256,13421456,26.9987,254.52
wmma,16384,16384,256,13421456,44.7636,153.51
baseline,16384,16384,256,2684748,10.2544,134.05
memopt,16384,16384,256,2684748,11.0679,124.2
memopt_v2,16384,16384,256,2684748,11.2128,122.59
tiled,16384,16384,256,2684748,7.6104,180.62
tiled_v2,16384,16384,256,2684748,7.7605,177.13
tiled_v3,16384,16384,256,2684748,6.819,201.58
tiled_v4,16384,16384,256,2684748,6.6575,206.47
wmma,16384,16384,256,2684748,42.0581,32.68
baseline,16384,16384,256,268160,1.1037,124.39
memopt,16384,16384,256,268160,1.2268,111.92
memopt_v2,16384,16384,256,268160,1.2259,112.0
tiled,16384,16384,256,268160,1.0322,133.02
tiled_v2,16384,16384,256,268160,0.9216,148.98
tiled_v3,16384,16384,256,268160,0.9298,147.67
tiled_v4,16384,16384,256,268160,0.9894,138.77
wmma,16384,16384,256,268160,10.4202,13.18
